2025-02-25 12:52:02,411 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:02:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,411 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:04:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,411 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:08:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,411 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:10:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,411 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:23:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,412 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:26:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,412 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:28:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,412 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:32:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,412 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:35:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,412 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:40:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:45:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:49:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 11:55:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:04:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:06:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:10:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,413 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:17:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,414 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:20:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,414 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:26:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:02,414 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:31:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,414 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:35:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,415 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:53:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,415 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 12:57:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,415 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:00:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,415 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:07:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:02,416 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:11:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,416 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:17:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,416 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:25:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,416 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:28:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,416 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:32:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:35:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:43:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:47:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:49:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,417 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 13:56:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,418 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:00:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,418 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:02:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:08:00-05:00, duration: 0 days 00:05:00
2025-02-25 12:52:02,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:13:00-05:00, duration: 0 days 00:05:00
2025-02-25 12:52:02,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:15:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:20:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:02,419 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:26:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:31:00-05:00, duration: 0 days 00:03:00
2025-02-25 12:52:02,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:34:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:40:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:46:00-05:00, duration: 0 days 00:04:00
2025-02-25 12:52:02,420 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:51:00-05:00, duration: 0 days 00:02:00
2025-02-25 12:52:02,421 - src.tradelab.data.fetcher - WARNING - Gap at 2025-02-13 14:55:00-05:00, duration: 0 days 00:03:00
